return_id,sale_id,Invoice,StockCode,Quantity,Price,InvoiceDate,CustomerID
37,,C489527,85124A,6,2.55,2009-12-01 11:50:00,16128
38,,C489528,85048,1,7.95,2009-12-01 11:50:00,16714
39,,C489530,72803A,1,4.25,2009-12-01 11:56:00,14748
40,,C489534,35832,1,5.95,2009-12-01 12:09:00,12615
41,,C489535,D,1,19.0,2009-12-01 12:11:00,15299
42,,C489535,D,1,9.0,2009-12-01 12:11:00,15299
43,,C489538,22183,4,6.75,2009-12-01 12:18:00,15796
44,,C489538,POST,1,9.58,2009-12-01 12:18:00,15796
45,,C489541,21254,4,2.95,2009-12-01 12:18:00,15091
46,,C489543,35400,2,8.95,2009-12-01 12:19:00,14292
47,,C489549,35400,2,7.95,2009-12-01 12:33:00,13768
48,,C489551,85048,1,6.95,2009-12-01 12:35:00,17641
49,,C489553,35004S,1,6.35,2009-12-01 12:41:00,13545
50,,C489553,35001W,6,3.49,2009-12-01 12:41:00,13545
51,246.0,C489554,85042,3,4.25,2009-12-01 12:43:00,13767
52,,C489554,35001B,2,2.95,2009-12-01 12:43:00,13767
53,,C489555,21260,6,3.25,2009-12-01 12:44:00,16955
54,1227.0,C489563,90090,12,0.85,2009-12-01 13:09:00,13526
55,1209.0,C489563,90087,48,0.85,2009-12-01 13:09:00,13526
56,1220.0,C489563,90092,24,0.85,2009-12-01 13:09:00,13526
57,1210.0,C489563,90085,81,0.85,2009-12-01 13:09:00,13526
58,1220.0,C489563,90092,3,0.85,2009-12-01 13:09:00,13526
59,1213.0,C489563,90084,12,0.85,2009-12-01 13:09:00,13526
60,1227.0,C489563,90090,24,0.85,2009-12-01 13:09:00,13526
61,1215.0,C489563,90088,24,0.85,2009-12-01 13:09:00,13526
62,1212.0,C489563,90093,24,0.85,2009-12-01 13:09:00,13526
63,1308.0,C489565,90125A,12,2.1,2009-12-01 13:14:00,13526
64,,C489568,22107,1,3.75,2009-12-01 13:20:00,15005
65,,C489568,82483,1,5.95,2009-12-01 13:20:00,15005
66,,C489568,22138,1,4.95,2009-12-01 13:20:00,15005
67,,C489568,21218,1,3.75,2009-12-01 13:20:00,15005
68,,C489570,20894,1,2.95,2009-12-01 13:28:00,15967
69,,C489570,85103,1,6.75,2009-12-01 13:28:00,15967
70,,C489570,15056N,1,5.95,2009-12-01 13:28:00,15967
71,,C489570,79323W,1,6.75,2009-12-01 13:28:00,15967
72,,C489577,37503,3,9.95,2009-12-01 13:38:00,14030
73,,C489577,22127,48,1.25,2009-12-01 13:38:00,14030
74,,C489577,37501,1,6.95,2009-12-01 13:38:00,14030
75,,C489578,21481,1,2.95,2009-12-01 13:40:00,17091
76,,C489583,85047,1,6.35,2009-12-01 13:47:00,14621
77,,C489583,72807B,1,4.25,2009-12-01 13:47:00,14621
78,,C489583,72802C,1,4.25,2009-12-01 13:47:00,14621
79,,C489583,72802B,2,4.25,2009-12-01 13:47:00,14621
80,,C489587,21639,5,0.85,2009-12-01 13:52:00,16422
81,,C489588,79323GR,2,6.75,2009-12-01 14:01:00,13711
82,,C489588,79323P,2,6.75,2009-12-01 14:01:00,13711
83,,C489588,22120,1,9.95,2009-12-01 14:01:00,13711
84,,C489589,22073,1,3.75,2009-12-01 14:02:00,16150
85,,C489589,21535,1,2.55,2009-12-01 14:02:00,16150
86,,C489591,79323B,3,5.45,2009-12-01 14:17:00,12921
87,,C489592,22301,2,2.55,2009-12-01 14:19:00,18287
88,,C489595,21752,1,14.95,2009-12-01 14:20:00,15254
89,,C489605,21257,2,7.95,2009-12-01 14:47:00,14558
90,,C489610,22138,2,4.95,2009-12-01 14:52:00,17485
91,,C489610,85123A,1,2.95,2009-12-01 14:52:00,17485
92,,C489610,20682,1,3.25,2009-12-01 14:52:00,17485
93,,C489610,22164,1,2.95,2009-12-01 14:52:00,17485
94,,C489610,21364,1,6.75,2009-12-01 14:52:00,17485
95,,C489610,21892,3,1.25,2009-12-01 14:52:00,17485
96,,C489632,20814,12,1.25,2009-12-01 15:18:00,13381
97,,C489632,20814,1,1.25,2009-12-01 15:18:00,13381
98,,C489636,21329,8,1.65,2009-12-01 15:34:00,17345
99,,C489636,21577,1,2.25,2009-12-01 15:34:00,17345
100,,C489636,84032B,3,2.95,2009-12-01 15:34:00,17345
101,,C489636,84029E,4,3.75,2009-12-01 15:34:00,17345
102,,C489636,22144,1,2.1,2009-12-01 15:34:00,17345
103,,C489636,21330,9,1.65,2009-12-01 15:34:00,17345
104,,C489636,22142,2,1.45,2009-12-01 15:34:00,17345
105,,C489636,22145,2,2.1,2009-12-01 15:34:00,17345
106,,C489636,21578,2,2.25,2009-12-01 15:34:00,17345
107,,C489636,21579,1,2.25,2009-12-01 15:34:00,17345
108,,C489636,21576,2,2.25,2009-12-01 15:34:00,17345
109,,C489643,20686,1,3.25,2009-12-01 16:26:00,15750
110,,C489643,22167,1,9.95,2009-12-01 16:26:00,15750
111,,C489643,84839,2,6.75,2009-12-01 16:26:00,15750
112,,C489643,21429,1,1.65,2009-12-01 16:26:00,15750
113,,C489643,47594B,1,1.95,2009-12-01 16:26:00,15750
114,,C489651,M,1,5.1,2009-12-01 16:48:00,17804
118,,C489685,POST,1,18.0,2009-12-02 10:28:00,12523
119,,C489685,21843,1,10.95,2009-12-02 10:28:00,12523
120,,C489686,79191C,2,0.85,2009-12-02 10:34:00,17019
121,,C489689,21843,2,10.95,2009-12-02 10:46:00,15353
122,,C489713,21094,150,0.64,2009-12-02 10:55:00,12755
123,,C489713,22071,18,2.75,2009-12-02 10:55:00,12755
124,,C489713,22070,23,2.75,2009-12-02 10:55:00,12755
125,,C489771,20914,1,2.95,2009-12-02 11:36:00,13623
126,,C489799,20711,2,1.95,2009-12-02 12:23:00,13070
127,,C489799,21929,2,1.95,2009-12-02 12:23:00,13070
128,,C489803,21843,1,10.95,2009-12-02 12:34:00,16797
130,,C489813,84472,1,45.95,2009-12-02 13:02:00,17867
131,,C489813,84622,1,5.95,2009-12-02 13:02:00,17867
134,,C489828,72807C,2,4.25,2009-12-02 13:53:00,13313
135,,C489858,20914,3,2.95,2009-12-02 14:43:00,12471
136,,C489858,22198,7,1.65,2009-12-02 14:43:00,12471
143,,C489911,21432,1,5.95,2009-12-03 10:26:00,12705
144,,C489911,85232A,6,4.95,2009-12-03 10:26:00,12705
145,,C489911,21491,3,1.95,2009-12-03 10:26:00,12705
146,,C489955,21232,1,1.25,2009-12-03 10:57:00,12484
147,,C489955,20870,1,2.1,2009-12-03 10:57:00,12484
148,,C489958,22044,1,0.42,2009-12-03 10:58:00,14895
149,,C489958,85069,3,16.95,2009-12-03 10:58:00,14895
150,231.0,C489973,21232,6,1.25,2009-12-03 11:03:00,17865
151,208.0,C489973,22063,1,2.95,2009-12-03 11:03:00,17865
154,,C490051,22215,2,8.5,2009-12-03 13:06:00,16163
155,,C490051,22220,2,9.95,2009-12-03 13:06:00,16163
157,,C490076,22139,1,4.95,2009-12-03 14:43:00,13001
159,4218.0,C490096,20726,1,1.65,2009-12-03 16:06:00,13457
160,,C490098,21868,5,1.25,2009-12-03 16:11:00,17576
161,,C490117,POST,1,2.99,2009-12-03 17:38:00,16570
162,,C490117,22258,48,1.25,2009-12-03 17:38:00,16570
163,,C490120,22333,16,1.65,2009-12-03 17:52:00,14277
164,,C490120,84997D,6,3.75,2009-12-03 17:52:00,14277
165,,C490120,20682,6,3.25,2009-12-03 17:52:00,14277
166,,C490120,84997A,6,3.75,2009-12-03 17:52:00,14277
167,,C490120,21889,12,1.25,2009-12-03 17:52:00,14277
168,,C490120,22331,8,1.65,2009-12-03 17:52:00,14277
169,,C490120,20681,6,3.25,2009-12-03 17:52:00,14277
170,,C490120,21212,24,0.55,2009-12-03 17:52:00,14277
171,,C490120,22138,9,4.95,2009-12-03 17:52:00,14277
172,,C490120,22352,12,2.55,2009-12-03 17:52:00,14277
173,,C490120,POST,2,18.0,2009-12-03 17:52:00,14277
174,,C490120,21092,12,0.85,2009-12-03 17:52:00,14277
175,,C490120,21099,12,0.65,2009-12-03 17:52:00,14277
176,,C490120,22353,6,2.55,2009-12-03 17:52:00,14277
177,,C490120,21080,12,0.85,2009-12-03 17:52:00,14277
178,,C490120,21086,12,0.65,2009-12-03 17:52:00,14277
179,,C490120,21121,24,1.25,2009-12-03 17:52:00,14277
180,,C490120,21094,12,0.85,2009-12-03 17:52:00,14277
181,,C490122,21432,1,5.95,2009-12-03 17:59:00,16549
182,,C490122,21540,1,4.25,2009-12-03 17:59:00,16549
183,,C490126,M,1,5.95,2009-12-03 18:12:00,15884
184,,C490129,M,1,1998.49,2009-12-03 18:26:00,15482
186,,C490131,84828,12,1.25,2009-12-03 18:29:00,17663
187,8543.0,C490133,72045D,504,1.69,2009-12-03 18:36:00,17949
188,8495.0,C490133,20971,600,1.06,2009-12-03 18:36:00,17949
189,8466.0,C490133,21314,504,1.85,2009-12-03 18:36:00,17949
190,8466.0,C490133,21314,252,1.85,2009-12-03 18:36:00,17949
191,8466.0,C490133,21314,246,1.85,2009-12-03 18:36:00,17949
193,,C490148,85123A,1,2.95,2009-12-04 09:37:00,16961
194,,C490153,22180,2,9.95,2009-12-04 10:10:00,12525
195,,C490153,21527,2,7.95,2009-12-04 10:10:00,12525
196,,C490153,21265,1,9.95,2009-12-04 10:10:00,12525
197,,C490155,82483,1,5.95,2009-12-04 10:28:00,14221
199,,C490251,84081,1,4.25,2009-12-04 12:29:00,16541
200,,C490269,78056,1,8.5,2009-12-04 12:33:00,14527
201,3804.0,C490269,21539,1,4.95,2009-12-04 12:33:00,14527
202,,C490283,22072,1,3.75,2009-12-04 12:49:00,12349
203,,C490283,20914,1,2.95,2009-12-04 12:49:00,12349
204,,C490283,21231,1,1.25,2009-12-04 12:49:00,12349
205,,C490283,21232,1,1.25,2009-12-04 12:49:00,12349
206,,C490283,20747,1,14.95,2009-12-04 12:49:00,12349
207,10973.0,C490296,POST,1,28.0,2009-12-04 13:51:00,12510
208,,C490306,21989,36,0.85,2009-12-04 14:40:00,17193
210,,C490309,22138,3,4.95,2009-12-04 14:56:00,15767
211,11506.0,C490343,21634,24,1.25,2009-12-04 15:48:00,14087
212,,C490348,90002E,1,3.75,2009-12-04 16:22:00,17884
213,,C490348,90040C,3,3.5,2009-12-04 16:22:00,17884
214,,C490348,90040A,3,3.5,2009-12-04 16:22:00,17884
215,11700.0,C490350,90002E,2,3.75,2009-12-04 16:24:00,17884
217,,C490358,21258,5,10.95,2009-12-04 16:51:00,18225
218,,C490358,21539,1,4.95,2009-12-04 16:51:00,18225
219,,C490358,85066,3,10.95,2009-12-04 16:51:00,18225
220,,C490358,21527,6,7.95,2009-12-04 16:51:00,18225
221,,C490358,21535,2,2.55,2009-12-04 16:51:00,18225
224,,C490402,85159A,1,6.35,2009-12-06 10:57:00,15059
225,,C490460,85159A,2,6.35,2009-12-06 12:06:00,15059
226,12667.0,C490462,21843,1,10.95,2009-12-06 12:09:00,13736
227,,C490469,84352,1,16.95,2009-12-06 12:23:00,16395
228,,C490469,90195A,3,8.95,2009-12-06 12:23:00,16395
229,,C490469,84466,1,1.25,2009-12-06 12:23:00,16395
230,,C490469,21528,1,6.95,2009-12-06 12:23:00,16395
231,12943.0,C490475,21826,12,1.25,2009-12-06 12:34:00,16395
232,,C490480,22187,2,4.25,2009-12-06 12:46:00,14717
233,13314.0,C490492,90121B,3,4.25,2009-12-06 13:20:00,15751
234,,C490495,84968B,1,12.75,2009-12-06 13:38:00,17848
235,,C490497,85047,1,6.35,2009-12-06 13:41:00,17969
236,,C490498,37483,1,2.55,2009-12-06 13:43:00,15547
237,,C490507,22187,2,4.25,2009-12-06 14:12:00,14606
238,,C490507,21950,1,1.25,2009-12-06 14:12:00,14606
239,,C490507,37448,1,1.49,2009-12-06 14:12:00,14606
240,,C490509,22184,1,8.5,2009-12-06 14:34:00,15822
241,,C490509,85048,2,7.95,2009-12-06 14:34:00,15822
242,,C490510,20973,1,0.65,2009-12-06 14:37:00,13211
243,,C490510,47589,3,5.45,2009-12-06 14:37:00,13211
244,,C490513,85043,1,4.95,2009-12-06 14:58:00,17610
245,,C490513,79340W,1,7.95,2009-12-06 14:58:00,17610
246,,C490513,21734,1,3.75,2009-12-06 14:58:00,17610
247,,C490513,20727,1,1.65,2009-12-06 14:58:00,17610
248,,C490513,20973,2,0.65,2009-12-06 14:58:00,17610
249,,C490513,21733,1,2.95,2009-12-06 14:58:00,17610
250,,C490513,85232B,1,4.95,2009-12-06 14:58:00,17610
251,,C490513,15044D,1,2.95,2009-12-06 14:58:00,17610
252,,C490513,22171,1,8.5,2009-12-06 14:58:00,17610
253,,C490520,47589,1,5.45,2009-12-06 15:21:00,13211
254,14042.0,C490532,21450,10,5.95,2009-12-06 16:02:00,15691
256,3239.0,C490544,22139,6,4.95,2009-12-07 09:46:00,16163
257,,C490565,22335,48,0.65,2009-12-07 10:44:00,14113
258,,C490565,21527,2,7.95,2009-12-07 10:44:00,14113
259,,C490565,22301,1,2.55,2009-12-07 10:44:00,14113
260,,C490666,21361,1,12.75,2009-12-07 12:32:00,16404
261,,C490700,90214L,6,1.25,2009-12-07 14:37:00,14695
262,,C490700,90214A,6,1.25,2009-12-07 14:37:00,14695
263,,C490700,90214I,6,1.25,2009-12-07 14:37:00,14695
264,,C490700,90214S,6,1.25,2009-12-07 14:37:00,14695
265,,C490700,90214C,6,1.25,2009-12-07 14:37:00,14695
266,,C490700,90214E,6,1.25,2009-12-07 14:37:00,14695
267,,C490700,90214G,6,1.25,2009-12-07 14:37:00,14695
268,,C490700,90214J,6,1.25,2009-12-07 14:37:00,14695
269,,C490700,90214P,6,1.25,2009-12-07 14:37:00,14695
270,,C490701,22138,1,4.95,2009-12-07 14:38:00,12677
271,,C490701,20723,1,0.85,2009-12-07 14:38:00,12677
272,,C490702,47566,1,4.65,2009-12-07 14:43:00,12424
273,,C490702,47590B,3,5.45,2009-12-07 14:43:00,12424
276,988.0,C490721,84782C,1,12.75,2009-12-07 15:45:00,14156
277,989.0,C490721,21232,1,1.25,2009-12-07 15:45:00,14156
280,,C490739,22003,10,6.75,2009-12-07 17:50:00,16436
281,,C490739,22295,12,1.65,2009-12-07 17:50:00,16436
282,,C490740,35400,1,8.95,2009-12-07 17:52:00,14209
283,,C490742,21527,1,7.95,2009-12-07 17:58:00,13807
284,,C490742,85063,1,16.95,2009-12-07 17:58:00,13807
285,,C490743,37449,1,9.95,2009-12-07 17:59:00,14763
286,,C490744,85014B,1,5.95,2009-12-07 18:00:00,16556
287,,C490744,21658,1,3.95,2009-12-07 18:00:00,16556
288,,C490744,21663,1,5.95,2009-12-07 18:00:00,16556
289,,C490744,21662,1,5.95,2009-12-07 18:00:00,16556
290,,C490744,21622,1,4.95,2009-12-07 18:00:00,16556
291,,C490746,85065,1,12.75,2009-12-07 18:09:00,14013
292,,C490746,85067,1,18.95,2009-12-07 18:09:00,14013
293,,C490746,85063,1,16.95,2009-12-07 18:09:00,14013
294,,C490746,22138,6,4.95,2009-12-07 18:09:00,14013
295,,C490748,M,1,309.73,2009-12-07 18:14:00,12748
296,,C490756,21125,1,1.25,2009-12-08 09:27:00,12424
297,,C490756,21126,2,1.25,2009-12-08 09:27:00,12424
300,,C490768,84472,1,45.95,2009-12-08 11:10:00,14277
301,,C490768,82484,1,6.45,2009-12-08 11:10:00,14277
302,11868.0,C490773,22061,1,9.95,2009-12-08 11:19:00,16593
303,11867.0,C490773,22060,1,9.95,2009-12-08 11:19:00,16593
304,,C490798,22331,8,1.65,2009-12-08 11:51:00,14277
305,,C490798,21889,12,1.25,2009-12-08 11:51:00,14277
306,,C490798,20681,6,3.25,2009-12-08 11:51:00,14277
307,,C490798,20682,6,3.25,2009-12-08 11:51:00,14277
308,,C490798,22333,16,1.65,2009-12-08 11:51:00,14277
309,,C490798,84997D,6,3.75,2009-12-08 11:51:00,14277
310,,C490798,84997A,6,3.75,2009-12-08 11:51:00,14277
311,,C490798,22138,9,4.95,2009-12-08 11:51:00,14277
312,,C490798,21212,24,0.55,2009-12-08 11:51:00,14277
313,,C490798,22352,12,2.55,2009-12-08 11:51:00,14277
314,,C490798,21121,24,1.25,2009-12-08 11:51:00,14277
315,,C490798,21086,12,0.65,2009-12-08 11:51:00,14277
316,,C490798,21080,12,0.85,2009-12-08 11:51:00,14277
317,,C490798,21094,12,0.85,2009-12-08 11:51:00,14277
318,,C490798,21099,12,0.65,2009-12-08 11:51:00,14277
319,,C490798,21092,12,0.85,2009-12-08 11:51:00,14277
320,,C490798,POST,2,18.0,2009-12-08 11:51:00,14277
321,,C490798,22353,6,2.55,2009-12-08 11:51:00,14277
322,,C490807,21870,12,1.25,2009-12-08 12:25:00,13091
323,,C490807,84596E,16,1.25,2009-12-08 12:25:00,13091
324,,C490807,84596B,16,1.25,2009-12-08 12:25:00,13091
325,,C490807,21866,12,1.25,2009-12-08 12:25:00,13091
326,,C490807,21634,24,1.25,2009-12-08 12:25:00,13091
327,,C490807,51014A,60,0.85,2009-12-08 12:25:00,13091
328,,C490807,16033,120,0.12,2009-12-08 12:25:00,13091
329,,C490807,51014C,60,0.85,2009-12-08 12:25:00,13091
330,,C490807,22030,48,0.42,2009-12-08 12:25:00,13091
331,,C490807,84077,96,0.21,2009-12-08 12:25:00,13091
332,,C490807,21871,12,1.25,2009-12-08 12:25:00,13091
333,,C490807,21703,36,0.42,2009-12-08 12:25:00,13091
334,,C490807,35004B,12,4.65,2009-12-08 12:25:00,13091
335,,C490807,84030C,4,3.75,2009-12-08 12:25:00,13091
336,,C490807,84029E,4,3.75,2009-12-08 12:25:00,13091
337,,C490807,84029G,4,3.75,2009-12-08 12:25:00,13091
338,,C490807,10138,96,0.42,2009-12-08 12:25:00,13091
339,,C490807,84510A,10,1.25,2009-12-08 12:25:00,13091
340,,C490807,21700,24,0.85,2009-12-08 12:25:00,13091
341,,C490807,20670,6,2.95,2009-12-08 12:25:00,13091
342,,C490807,20661,12,2.95,2009-12-08 12:25:00,13091
343,,C490807,21901,48,0.65,2009-12-08 12:25:00,13091
344,,C490807,22123,12,5.95,2009-12-08 12:25:00,13091
345,,C490807,22174,24,1.65,2009-12-08 12:25:00,13091
346,,C490807,22095,36,1.06,2009-12-08 12:25:00,13091
347,,C490807,22107,32,3.39,2009-12-08 12:25:00,13091
348,,C490807,21743,24,2.95,2009-12-08 12:25:00,13091
349,,C490807,20665,12,2.95,2009-12-08 12:25:00,13091
350,,C490807,21098,36,1.25,2009-12-08 12:25:00,13091
351,,C490807,51014L,60,0.85,2009-12-08 12:25:00,13091
352,,C490807,20940,18,2.95,2009-12-08 12:25:00,13091
353,,C490807,85175,96,0.42,2009-12-08 12:25:00,13091
354,,C490807,84692,50,0.42,2009-12-08 12:25:00,13091
355,,C490807,85217,24,0.65,2009-12-08 12:25:00,13091
356,,C490807,22064,24,1.65,2009-12-08 12:25:00,13091
357,,C490807,20658,12,1.25,2009-12-08 12:25:00,13091
358,,C490807,21490,12,1.95,2009-12-08 12:25:00,13091
359,,C490866,79323S,1,6.75,2009-12-08 12:51:00,17213
360,,C490866,20829,1,2.1,2009-12-08 12:51:00,17213
361,,C490866,85065,1,12.75,2009-12-08 12:51:00,17213
362,,C490866,51012C,1,1.25,2009-12-08 12:51:00,17213
363,,C490866,82483,1,5.95,2009-12-08 12:51:00,17213
364,3243.0,C490923,22138,3,4.95,2009-12-08 13:25:00,16163
365,,C490929,22139,4,4.95,2009-12-08 13:42:00,13915
366,,C490929,22138,4,4.95,2009-12-08 13:42:00,13915
367,,C490931,85048,1,7.95,2009-12-08 13:44:00,14925
368,,C490934,20914,1,2.55,2009-12-08 13:49:00,14156
369,1333.0,C490935,48195,2,6.75,2009-12-08 13:54:00,15326
370,1341.0,C490935,72127,1,1.25,2009-12-08 13:54:00,15326
371,1332.0,C490935,85216,1,0.65,2009-12-08 13:54:00,15326
372,1328.0,C490935,85042,1,4.95,2009-12-08 13:54:00,15326
373,1336.0,C490935,85150,6,2.55,2009-12-08 13:54:00,15326
374,1325.0,C490935,21761,1,29.95,2009-12-08 13:54:00,15326
375,1327.0,C490935,21463,1,5.95,2009-12-08 13:54:00,15326
376,1324.0,C490935,84839,1,6.75,2009-12-08 13:54:00,15326
377,1326.0,C490935,85162A,1,9.95,2009-12-08 13:54:00,15326
378,8643.0,C490939,22352,6,2.55,2009-12-08 14:00:00,16736
379,,C490942,22125,3,5.95,2009-12-08 14:04:00,14337
380,,C490942,21579,6,2.25,2009-12-08 14:04:00,14337
381,,C490942,21481,6,2.95,2009-12-08 14:04:00,14337
382,,C490942,84029E,6,3.75,2009-12-08 14:04:00,14337
383,,C490942,11001,16,1.69,2009-12-08 14:04:00,14337
384,,C490942,20695,3,4.25,2009-12-08 14:04:00,14337
385,,C490942,21889,12,1.25,2009-12-08 14:04:00,14337
386,,C490942,21485,6,4.95,2009-12-08 14:04:00,14337
387,,C490942,21832,12,1.65,2009-12-08 14:04:00,14337
388,,C490942,20936,6,2.95,2009-12-08 14:04:00,14337
389,,C490942,85175,32,0.42,2009-12-08 14:04:00,14337
390,,C490942,85172,16,0.42,2009-12-08 14:04:00,14337
391,,C490942,21480,6,2.95,2009-12-08 14:04:00,14337
392,,C490942,21482,6,2.95,2009-12-08 14:04:00,14337
393,,C490942,21479,8,3.75,2009-12-08 14:04:00,14337
394,,C490942,20935,6,2.95,2009-12-08 14:04:00,14337
395,,C490942,84031B,5,4.65,2009-12-08 14:04:00,14337
396,,C490942,84031A,5,4.65,2009-12-08 14:04:00,14337
397,,C490942,21791,12,1.25,2009-12-08 14:04:00,14337
398,,C490942,21581,8,2.25,2009-12-08 14:04:00,14337
399,,C490942,21679,12,0.85,2009-12-08 14:04:00,14337
400,,C490942,21701,12,1.69,2009-12-08 14:04:00,14337
401,,C490942,84270,60,0.21,2009-12-08 14:04:00,14337
402,,C490942,21700,24,0.85,2009-12-08 14:04:00,14337
403,,C490942,85217,24,0.65,2009-12-08 14:04:00,14337
404,,C490942,85216,24,0.65,2009-12-08 14:04:00,14337
405,,C490942,84032A,8,2.95,2009-12-08 14:04:00,14337
406,,C490942,84032B,6,2.95,2009-12-08 14:04:00,14337
407,,C490942,22111,8,4.95,2009-12-08 14:04:00,14337
408,,C490942,84029G,4,3.75,2009-12-08 14:04:00,14337
409,,C490942,84030E,5,4.25,2009-12-08 14:04:00,14337
410,,C490942,21578,6,2.25,2009-12-08 14:04:00,14337
411,,C490942,20694,4,3.75,2009-12-08 14:04:00,14337
412,,C490942,21888,4,3.75,2009-12-08 14:04:00,14337
413,,C490942,21580,6,2.25,2009-12-08 14:04:00,14337
414,,C490942,21576,6,2.25,2009-12-08 14:04:00,14337
415,,C490943,BANK CHARGES,1,15.0,2009-12-08 14:08:00,16703
416,,C490946,16033,120,0.12,2009-12-08 14:28:00,13091
417,,C490946,10138,96,0.42,2009-12-08 14:28:00,13091
418,,C490946,22030,48,0.42,2009-12-08 14:28:00,13091
419,,C490946,84077,96,0.21,2009-12-08 14:28:00,13091
420,,C490946,51014C,60,0.85,2009-12-08 14:28:00,13091
421,,C490946,21703,36,0.42,2009-12-08 14:28:00,13091
422,,C490946,35004B,12,4.65,2009-12-08 14:28:00,13091
423,,C490946,84030C,4,3.75,2009-12-08 14:28:00,13091
424,,C490946,51014A,60,0.85,2009-12-08 14:28:00,13091
425,,C490946,84029G,4,3.75,2009-12-08 14:28:00,13091
426,,C490946,20670,6,2.95,2009-12-08 14:28:00,13091
427,,C490946,21901,48,0.65,2009-12-08 14:28:00,13091
428,,C490946,22123,12,5.95,2009-12-08 14:28:00,13091
429,,C490946,22095,36,1.06,2009-12-08 14:28:00,13091
430,,C490946,22107,32,3.39,2009-12-08 14:28:00,13091
431,,C490946,21743,24,2.95,2009-12-08 14:28:00,13091
432,,C490946,84029E,4,3.75,2009-12-08 14:28:00,13091
433,,C490946,21634,24,1.25,2009-12-08 14:28:00,13091
434,,C490946,22174,24,1.65,2009-12-08 14:28:00,13091
435,,C490946,84596B,16,1.25,2009-12-08 14:28:00,13091
436,,C490946,21098,36,1.25,2009-12-08 14:28:00,13091
437,,C490946,21490,12,1.95,2009-12-08 14:28:00,13091
438,,C490946,51014L,60,0.85,2009-12-08 14:28:00,13091
439,,C490946,21866,12,1.25,2009-12-08 14:28:00,13091
440,,C490946,20940,18,2.95,2009-12-08 14:28:00,13091
441,,C490946,84692,50,0.42,2009-12-08 14:28:00,13091
442,,C490946,85217,24,0.65,2009-12-08 14:28:00,13091
443,,C490946,21700,24,0.85,2009-12-08 14:28:00,13091
444,,C490946,85175,96,0.42,2009-12-08 14:28:00,13091
445,,C490946,20658,12,1.25,2009-12-08 14:28:00,13091
446,,C490946,20661,12,2.95,2009-12-08 14:28:00,13091
447,,C490946,20665,12,2.95,2009-12-08 14:28:00,13091
448,,C490946,84510A,10,1.25,2009-12-08 14:28:00,13091
449,,C490946,21871,12,1.25,2009-12-08 14:28:00,13091
450,,C490946,21870,12,1.25,2009-12-08 14:28:00,13091
451,,C490946,84596E,16,1.25,2009-12-08 14:28:00,13091
452,,C490946,22064,24,1.65,2009-12-08 14:28:00,13091
453,,C490947,21100,1,1.65,2009-12-08 14:29:00,16523
454,,C490949,47503F,1,1.65,2009-12-08 14:30:00,16353
455,6867.0,C490973,21875,1,1.25,2009-12-08 16:40:00,17069
456,6907.0,C490973,85232B,1,4.95,2009-12-08 16:40:00,17069
457,11366.0,C490974,21032,3,1.25,2009-12-08 16:41:00,16451
460,,C490977,85006,6,2.95,2009-12-08 16:43:00,15317
461,,C490979,85047,3,6.35,2009-12-08 16:51:00,13468
462,,C490980,22319,1,0.65,2009-12-08 16:55:00,15194
